uniqueID,PI,treatment,individual,plot,row,range,flowering,plant_height,alive,n_daughter_plants,dispersion,dry_vine_mass,tuber_mass,tuber_number,n_bags
310994_9_lowN,310994,lowN,9,84,6,13,9/20/23,21,TRUE,24,76,163.3,,,1
245320_2_lowN,245320,lowN,2,85,6,12,NA,NA,NA,,,,,,
195198_1_lowN,195198,lowN,1,86,6,11,NA,NA,NA,,,,,,
245320_15_lowN,245320,lowN,15,87,6,10,9/1/23,19,TRUE,,0,103.7,42,16,1
472944_7_lowN,472944,lowN,7,88,6,9,8/7/23,24,TRUE,3,33,103.5,12,5,1
195198_11_lowN,195198,lowN,11,89,6,8,NA,NA,NA,,,,,,
234011_3_lowN,234011,lowN,3,90,6,7,8/31/23,23,TRUE,2,19,94.6,182,53,1
245320_18_lowN,245320,lowN,18,91,6,6,,27,TRUE,0,0,67.6,134,19,1
498300_14_lowN,498300,lowN,14,92,6,5,,19,TRUE,16,30,80.1,38,25,1
310994_20_lowN,310994,lowN,20,93,6,4,8/15/23,28,TRUE,14,83,136.4,,,1
472944_9_lowN,472944,lowN,9,94,6,3,8/22/23,22,FALSE,0,0,51.9,8,2,1
225677_10_lowN,225677,lowN,10,95,6,2,10/5/23,14,TRUE,0,0,56.8,82,7,1
498298_14_lowN,498298,lowN,14,96,6,1,7/18/23,37,TRUE,20,85,214.7,154,18,1
225677_9_lowN,225677,lowN,9,97,7,1,7/8/23,18,TRUE,0,0,53.6,16,3,1
234011_20_lowN,234011,lowN,20,98,7,2,,20,TRUE,0,0,69.6,22,17,1
310994_17_lowN,310994,lowN,17,99,7,3,NA,NA,NA,NA,NA,,,,
458342_3_lowN,458342,lowN,3,100,7,4,NA,NA,NA,,,,,,
225677_15_lowN,225677,lowN,15,101,7,5,,9,TRUE,0,,50.9,4,1,1
243371_8_lowN,243371,lowN,8,102,7,6,9/27/23,40,TRUE,0,,124.7,170,9,1
498298_8_lowN,498298,lowN,8,103,7,7,7/22/23,33,TRUE,15,140,298.5,18,2,1
234011_9_lowN,234011,lowN,9,104,7,8,8/28/23,22,TRUE,,,121.1,72,8,1
275138_6_lowN,275138,lowN,6,105,7,9,8/15/23,22,TRUE,28,140,333.7,10,4,1
245320_19_lowN,245320,lowN,19,106,7,10,,25,TRUE,,,101.8,182,10,1
472944_12_lowN,472944,lowN,12,107,7,11,7/15/23,29,FALSE,0,0,139.7,6,2,1
498298_13_lowN,498298,lowN,13,108,7,12,7/30/23,49,TRUE,8,107,736.4,252,9,2
234011_8_lowN,234011,lowN,8,109,7,13,NA,11,NA,,,,,,
498300_18_lowN,498300,lowN,18,110,7,14,,20,TRUE,0,0,66.5,30,9,1
472944_1_lowN,472944,lowN,1,111,7,15,6/30/23,37,FALSE,0,0,262.6,,,1
365344_11_lowN,365344,lowN,11,112,7,16,10/8/23,NA,NA,NA,NA,,,,
195198_9_lowN,195198,lowN,9,113,8,16,NA,NA,NA,,,,,,
281111_1_lowN,281111,lowN,1,114,8,15,,42,TRUE,0,0,255.2,338,73,1
498298_2_lowN,498298,lowN,2,115,8,14,7/25/23,50,TRUE,3,76,372.5,94,11,1
473281_3_lowN,473281,lowN,3,116,8,13,,16,TRUE,,,53.4,26,14,1
243371_20_lowN,243371,lowN,20,117,8,12,,17,TRUE,,,59,4,4,1
245320_6_lowN,245320,lowN,6,118,8,11,,22,TRUE,,,90.2,96,29,1
225677_1_lowN,225677,lowN,1,119,8,10,NA,NA,NA,,,,,,
245320_8_lowN,245320,lowN,8,120,8,9,,12,TRUE,,,67.3,18,10,1
472944_19_lowN,472944,lowN,19,121,8,8,8/5/23,28,FALSE,,,95.3,10,2,1
275138_1_lowN,275138,lowN,1,122,8,7,7/15/23,34,TRUE,,,170.5,,,1
230503_2_lowN,230503,lowN,2,123,8,6,,29,TRUE,,,61.2,12,2,1
243371_3_lowN,243371,lowN,3,124,8,5,NA,NA,NA,,,,,,
458342_5_lowN,458342,lowN,5,125,8,4,,13,TRUE,,,61.8,18,7,1
545916_5_lowN,545916,lowN,5,126,8,3,,28,TRUE,18,52,146.3,98,20,1
275138_12_lowN,275138,lowN,12,127,8,2,NA,NA,NA,,,,,,0
234011_10_lowN,234011,lowN,10,128,8,1,,22,TRUE,,,66.2,,,1
365344_8_lowN,365344,lowN,8,129,9,1,9/3/23,26,TRUE,,,79.2,,,1
472944_14_lowN,472944,lowN,14,130,9,2,7/4/23,35,FALSE,,,103,,,1
545916_9_lowN,545916,lowN,9,131,9,3,,24,TRUE,37,49,158.1,102,22,1
281111_4_lowN,281111,lowN,4,132,9,4,9/18/23,28,TRUE,,,68.1,12,1,1
281111_5_lowN,281111,lowN,5,133,9,5,,NA,TRUE,,,53.3,,,1
243371_9_lowN,243371,lowN,9,134,9,6,,30,TRUE,,,78.3,372,24,1
243371_7_lowN,243371,lowN,7,135,9,7,,40,,,,145.4,76,9,1
225677_13_lowN,225677,lowN,13,136,9,8,9/27/23,26,TRUE,,,65,,,1
310994_19_lowN,310994,lowN,19,137,9,9,8/5/23,23,TRUE,25,53,132.8,,,1
545916_2_lowN,545916,lowN,2,138,9,10,,15,,50,68,235.7,66,24,1
230503_12_lowN,230503,lowN,12,139,9,11,,25,,,,56,18,16,1
498300_15_lowN,498300,lowN,15,140,9,12,,29,,68,129,433.6,14,3,1
230503_10_lowN,230503,lowN,10,141,9,13,,27,,3,40,128.5,114,19,1
225677_20_lowN,225677,lowN,20,142,9,14,,15,,,,53,6,4,1
472944_8_lowN,472944,lowN,8,143,9,15,7/18/23,34,FALSE,4,96,170.8,10,9,1
281111_9_lowN,281111,lowN,9,144,9,16,,16,TRUE,,,65.7,12,3,1
243371_19_highN,243371,highN,19,145,10,16,9/25/23,48,TRUE,0,0,548.4,372,43,2
234011_16_highN,234011,highN,16,146,10,15,,19,TRUE,,,90.5,92,38,1
195198_15_highN,195198,highN,15,147,10,14,NA,NA,NA,,,9,,,
195198_5_highN,195198,highN,5,148,10,13,NA,NA,NA,,,,,,
498300_2_highN,498300,highN,2,149,10,12,,32,TRUE,,,106.1,28,14,1
243371_2_highN,243371,highN,2,150,10,11,10/12/23,31,TRUE,,,196.7,24,4,1
243371_18_highN,243371,highN,18,151,10,10,,27,TRUE,,,84.9,26,13,1
243371_13_highN,243371,highN,13,152,10,9,,17,TRUE,,,63.2,,,1
498298_17_highN,498298,highN,17,153,10,8,7/17/23,50,TRUE,,,657,2174,104,2
310994_6_highN,310994,highN,6,154,10,7,NA,NA,NA,,,,,,
234011_11_highN,234011,highN,11,155,10,6,8/24/23,24,TRUE,,,118.9,96,19,1
230503_14_highN,230503,highN,14,156,10,5,,33,TRUE,3,26,127,110,14,1
458342_15_highN,458342,highN,15,157,10,4,8/17/23,19,TRUE,3,14,77.1,66,13,1
310994_7_highN,310994,highN,7,158,10,3,8/17/23,29,TRUE,16,57,168.8,4,2,1
195198_2_highN,195198,highN,2,159,10,2,NA,NA,NA,,,,,,
545916_15_highN,545916,highN,15,160,10,1,,30,TRUE,37,63,84.2,26,11,1
195198_6_highN,195198,highN,6,161,11,1,8/24/23,26,TRUE,,,66.5,30,5,1
458342_16_highN,458342,highN,16,162,11,2,,18,,13,28,117.9,14,9,1
310994_16_highN,310994,highN,16,163,11,3,,25,TRUE,18,52,107.8,,,1
472944_10_highN,472944,highN,10,164,11,4,7/3/23,44,FALSE,,,200,,,1
310994_1_highN,310994,highN,1,165,11,5,7/19/23,31,TRUE,23,77,225.5,,,1
245320_4_highN,245320,highN,4,166,11,6,,32,TRUE,0,0,243.6,136,55,1
472944_3_highN,472944,highN,3,167,11,7,6/25/23,48,FALSE,3,48,349.3,14,4,1
225677_17_highN,225677,highN,17,168,11,8,,23,TRUE,,,78.9,6,4,1
281111_2_highN,281111,highN,2,169,11,9,,25,TRUE,,,104.3,,,1
243371_11_highN,243371,highN,11,170,11,10,,20,TRUE,,,61.3,,,1
545916_7_highN,545916,highN,7,171,11,11,,32,TRUE,107,78,402,56,12,1
230503_6_highN,230503,highN,6,172,11,12,,30,TRUE,7,49,89.3,108,12,1
472944_17_highN,472944,highN,17,173,11,13,7/25/23,43,FALSE,19,128,562.6,26,10,2
275138_8_highN,275138,highN,8,174,11,14,NA,NA,NA,,,,,,
225677_4_highN,225677,highN,4,175,11,15,,13,TRUE,0,0,47.7,38,1,1
498298_6_highN,498298,highN,6,176,11,16,7/21/23,54,TRUE,28,76,405.8,844,26,1
472944_2_highN,472944,highN,2,177,12,16,NA,NA,NA,,,,,,
498298_1_highN,498298,highN,1,178,12,15,7/24/23,64,TRUE,36,78,723.3,1860,53,3
472944_16_highN,472944,highN,16,179,12,14,NA,NA,NA,NA,,,,,
195198_8_highN,195198,highN,8,180,12,13,NA,NA,NA,,,,,,
243371_15_highN,243371,highN,15,181,12,12,,21,TRUE,0,,58.8,,,1
225677_19_highN,225677,highN,19,182,12,11,NA,18,NA,,NA,,,,
275138_10_highN,275138,highN,10,183,12,10,8/7/23,33,TRUE,8,67,165,8,4,1
281111_3_highN,281111,highN,3,184,12,9,,34,TRUE,0,0,179,80,37,1
545916_20_highN,545916,highN,20,185,12,8,NA,NA,NA,,,,,,
245320_17_highN,245320,highN,17,186,12,7,,27,TRUE,0,0,141.4,232,41,1
195198_4_highN,195198,highN,4,187,12,6,NA,NA,NA,,,,,,
458342_4_highN,458342,highN,4,188,12,5,NA,NA,NA,,,,,,
275138_5_highN,275138,highN,5,189,12,4,7/9/23,50,TRUE,54,177,881.3,10,5,4
545916_3_highN,545916,highN,3,190,12,3,NA,NA,NA,,,,,,
458342_6_highN,458342,highN,6,191,12,2,NA,NA,NA,,,,,,
281111_6_highN,281111,highN,6,192,12,1,NA,NA,NA,,,,,,
234011_7_highN,234011,highN,7,193,13,1,8/20/23,25,TRUE,0,0,60.6,26,13,1
245320_9_highN,245320,highN,9,194,13,2,NA,NA,NA,,,,,,
281111_7_highN,281111,highN,7,195,13,3,,23,TRUE,0,0,63.4,14,10,1
472944_13_highN,472944,highN,13,196,13,4,7/9/23,41,FALSE,2,29,,,,
230503_4_highN,230503,highN,4,197,13,5,NA,NA,NA,,,,,,
245320_11_highN,245320,highN,11,198,13,6,,33,TRUE,,,641.7,388,93,2
365344_13_highN,365344,highN,13,199,13,7,NA,NA,NA,,,,,,
365344_4_highN,365344,highN,4,200,13,8,10/5/23,19,TRUE,,,56.6,,,1
230503_18_highN,230503,highN,18,201,13,9,,31,TRUE,,,67.9,114,17,1
498298_5_highN,498298,highN,5,202,13,10,7/28/23,52,TRUE,3,44,845.6,2318,155,3
472944_15_highN,472944,highN,15,203,13,11,9/1/23,33,TRUE,,,335.2,48,2,1
195198_3_highN,195198,highN,3,204,13,12,8/22/23,17,TRUE,,,58.1,,,1
